,LHS,RHS,support,confidence,coverage,lift,count
97,"{purchase_factors:Price,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.19148936170212766,0.9,0.2127659574468085,1.281818181818182,9
28,"{purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.19148936170212766,0.9,0.2127659574468085,1.281818181818182,9
47,"{purchase_factors:Functionality,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.3404255319148936,0.8421052631578947,0.4042553191489362,1.2767402376910015,16
50,"{purchase_factors:Functionality,purchase_factors:Aesthetics}",{purchase_factors:Brand name},0.3617021276595745,0.8947368421052632,0.4042553191489362,1.2743221690590112,17
201,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.263440860215054,5
152,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.263440860215054,5
32,"{purchase_factors:Functionality,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.2127659574468085,0.8333333333333334,0.2553191489361702,1.263440860215054,10
75,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Customisable options}",{purchase_factors:Technological features},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.263440860215054,5
16,"{purchase_factors:Customisable options,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.263440860215054,5
109,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.2127659574468085,0.8333333333333334,0.2553191489361702,1.263440860215054,10
178,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.2127659574468085,0.8333333333333334,0.2553191489361702,1.263440860215054,10
165,"{purchase_factors:Price,purchase_factors:Aesthetics,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2589285714285714,6
19,"{purchase_factors:Customisable options,purchase_factors:Technological features}",{purchase_factors:Functionality},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2589285714285714,6
24,"{purchase_factors:Price,purchase_factors:Customisable options}",{purchase_factors:Functionality},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2589285714285714,6
85,"{purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2589285714285714,6
160,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2589285714285714,6
90,"{purchase_factors:Aesthetics,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.2589285714285714,6
122,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size}",{purchase_factors:Technological features},0.2978723404255319,0.8235294117647058,0.3617021276595745,1.2485768500948766,14
89,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.14893617021276595,0.875,0.1702127659574468,1.246212121212121,7
26,"{purchase_factors:Size,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.14893617021276595,0.875,0.1702127659574468,1.246212121212121,7
58,"{purchase_factors:Price,purchase_factors:Functionality}",{purchase_factors:Technological features},0.48936170212765956,0.8214285714285714,0.5957446808510638,1.2453917050691243,23
104,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.19148936170212766,0.8181818181818182,0.23404255319148934,1.240469208211144,9
132,"{purchase_factors:Price,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.3404255319148936,0.8421052631578947,0.4042553191489362,1.2368421052631577,16
46,"{purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.3404255319148936,0.8421052631578947,0.4042553191489362,1.2368421052631577,16
55,"{purchase_factors:Brand name,purchase_factors:Technological features}",{purchase_factors:Functionality},0.44680851063829785,0.84,0.5319148936170213,1.23375,21
74,"{purchase_factors:Price,purchase_factors:Customisable options,purchase_factors:Technological features}",{purchase_factors:Functionality},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.2239583333333335,5
143,"{purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.2239583333333335,5
